Country,2050,2040,2030,2020,2010,2000,1990,1980,1970,1960,1950,Region,Lat,Long
Guatemala,67.3,63,58.6,53.9,49.3,45.1,41.1,37.4,35.5,31.1,25.1,Americas,12.1,-61.7
Guyana,38.5,35.1,31.8,29.2,28.2,28.7,29.6,30.5,29.4,29,28,Americas,15.5,-90.2
Haiti,76.2,73.1,69.7,63.8,52,35.6,28.5,20.5,19.8,15.6,12.2,Americas,5,-59
Honduras,70.4,66.6,62.6,57.6,51.7,45.5,40.5,34.9,28.9,22.7,17.6,Americas,19,-72.4
Jamaica,67.7,63.6,59.5,56.1,53.7,51.8,49.4,46.7,41.3,33.8,24.1,Americas,15,-86.5
Mexico,86.4,84.7,82.8,80.6,77.8,74.7,71.4,66.3,59,50.8,42.7,Americas,18.2,-77.5
Nicaragua,71.9,68.2,64.3,60.5,57.3,54.7,52.3,49.9,47,39.6,35.2,Americas,23,-102
Panama,77.3,74.4,71.3,68.1,65.1,62.2,53.9,50.4,47.6,41.2,35.8,Americas,13,-85
Paraguay,71.5,67.9,64.3,61,58.5,55.3,48.7,41.7,37.1,35.6,34.6,Americas,9,-80
Peru,86.2,84.5,82.6,80.1,76.9,73,68.9,64.6,57.4,46.8,41,Americas,-23,-58
Saint Lucia,25.1,22.3,20,18.8,18.5,27.8,29.3,26.5,23.9,21.5,19.2,Americas,-10,-76
Saint Vincent and the Grenadines,61.9,58.8,55.6,52.3,48.8,45.2,41.4,35.9,30.7,25.9,21.7,Americas,13.9,-61.1
Suriname,71.7,69.2,67,66,66.3,66.4,65.7,65,45.9,47.3,46.9,Americas,13.2,-61.2
Trinidad and Tobago,10.7,9.2,8.1,8.1,9.1,10.8,8.5,10.9,11.9,17.3,21.4,Americas,4,-56
Uruguay,97.5,97.2,96.8,96,94.4,92,89,85.4,82.4,80.2,77.9,Americas,11,-61
Afghanistan,45.3,39.5,34,28.9,24.7,21.3,18.3,15.7,11.5,8.2,5.8,Eastern Mediterranean,-33,-56
Bahrain,91.8,90.9,90,89.1,88.5,88.4,88.1,86.1,83.8,82.3,64.4,Eastern Mediterranean,33,65
Djibouti,82.7,81,79.2,77.8,77,76.5,76,72.1,61.8,50.3,39.8,Eastern Mediterranean,26,50.5
Egypt,56.5,51.4,46.7,43.8,43,42.8,43.5,43.9,41.5,37.9,31.9,Eastern Mediterranean,11.5,43
Iraq,78,75.2,72.4,70.2,69,68.5,69.7,65.5,56.2,42.9,35.1,Eastern Mediterranean,27,30
Jordan,89.3,88.1,86.6,84.8,82.5,79.8,73.3,60,56,50.9,37,Eastern Mediterranean,33,44
Kuwait,98.8,98.7,98.6,98.4,98.3,98.1,98,94.8,85.7,74.9,61.5,Eastern Mediterranean,31,36
Lebanon,91.7,90.7,89.6,88.4,87.2,86,83.1,73.7,59.5,42.3,32,Eastern Mediterranean,29.3,47.7
Morocco,74,70.7,67,62.6,57.7,53.3,48.4,41.2,34.5,29.4,26.2,Eastern Mediterranean,33.8,35.8
Oman,86.5,84.8,82.8,79.7,75.2,71.6,66.1,47.6,29.7,16.4,8.6,Eastern Mediterranean,32,-5
Pakistan,57.5,52,46.6,41.2,36.6,33.2,30.6,28.1,24.8,22.1,17.5,Eastern Mediterranean,21,57
Qatar,99.8,99.8,99.7,99.5,98.7,96.3,92.8,89.4,88.4,85.3,80.5,Eastern Mediterranean,30,70
Saudi Arabia,88.7,87.4,85.9,84.1,82.1,79.8,76.6,65.9,48.7,31.3,21.3,Eastern Mediterranean,25.5,51.2
Somalia,57.9,52.6,47.3,42,37.3,33.2,29.7,26.8,22.7,17.3,12.7,Eastern Mediterranean,25,45
Sudan,49.8,44.2,38.8,35,33.1,32.5,28.6,20,16.5,10.7,6.8,Eastern Mediterranean,10,49
Syrian Arab Republic,71.5,67.8,63.8,59.7,55.7,51.9,48.9,46.7,43.3,36.8,32.7,Eastern Mediterranean,15,30
Tunisia,76.6,73.7,70.6,67.9,65.9,63.4,57.9,50.6,43.5,37.5,32.3,Eastern Mediterranean,35,38
United Arab Emirates,90.8,89.7,88.5,86.8,84.1,80.2,79.1,80.7,79.8,73.5,54.5,Eastern Mediterranean,34,9
